row_type,played_note,played_midi,played_freq,band_index,band_center_freq,band_fmin,band_fmax,scan_direction,candidate_f0,candidate_note,pitchyinfft_score,candidate_in_band,delta_cents_vs_played,fft_band_f0,fft_band_note,fft_band_score,fft_band_selected,hps_f0,hps_note,hps_score,hps_multi_note,candidate_fft_local_f0,candidate_fft_local_note,candidate_fft_local_score,candidate_hps_local_f0,candidate_hps_local_note,candidate_hps_local_score,candidate_hps_band_note,candidate_hps_agreement,candidate_final_score,candidate_harmonic_stack_score,candidate_harmonic_stack_hits,candidate_harmonic_stack_peaks,candidate_yin_harmonic_coherence_score,candidate_yin_harmonic_relations,refine_selected,refined_from_note,refined_from_f0,refined_f0,refined_note,refined_score,refined_delta_cents,chosen_note,chosen_f0,chosen_score,chosen_method,chosen_note_2,chosen_f0_2,chosen_score_2,chosen_method_2,chosen_note_3,chosen_f0_3,chosen_score_3,chosen_method_3,chosen_note_4,chosen_f0_4,chosen_score_4,chosen_method_4,candidate_top_notes
band_row,A0,21,27.5,2,155.5634919,110,220,low_to_high,161.0903778,E3,0.7529258364,TRUE,3060.440158,164.0625,E3,1,E3,27.5391,A0,0.793691521,A0,164.0625,E3,1,27.5391,A0,0.7966580789,,3,2.689070549,0.05543879176,6,"1:164.1, 2:330.3, 3:502.4, 4:620.4, 5:804.2, 6:964.6",1,2:E4,FALSE,,,,,,,A0,27.55970573,0.9051672384,best_refined_score,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0
band_row,A0,21,27.5,3,311.1269837,220,440,low_to_high,327.6237488,E4,0.445769046,TRUE,4289.443698,330.3222656,E4,1,E3,27.5391,A0,0.793691521,A0,330.3222656,E4,1,54.8272,A1,0.7375493451,,2,1.967082913,0.05561791844,6,"1:330.3, 2:620.4, 3:964.6, 4:1271.5, 5:1672.9, 6:1875.7",0,,FALSE,,,,,,,A0,27.55970573,0.9051672384,best_refined_score,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0
band_row,A0,21,27.5,1,77.78174593,55,110,low_to_high,66.49031067,C2,0.6521213282,TRUE,1528.455,55.6640625,A1,0.4231306164,E3,27.5391,A0,0.793691521,A0,70.3125,C♯2,0.1070995267,27.3438,A0,0.6263834044,,0,1.389561174,0.1028801249,6,"1:70.3, 2:136.2, 3:191.2, 4:274.7, 5:330.3, 6:387.5",0.5,5:E4,FALSE,,,,,,,A0,27.55970573,0.9051672384,best_refined_score,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0
band_row,A0,21,27.5,0,38.89087297,27.5,55,low_to_high,27.5603447,A0,0.8786124464,TRUE,3.794775891,29.296875,B♭0,0.1043648551,E3,27.5391,A0,0.793691521,A0,28.56445313,B♭0,0.06825297341,17.5781,C♯0,0.5824671176,A0,1,3.268619933,0.05870089167,6,"1:28.6, 2:54.2, 3:81.3, 4:109.1, 5:136.2, 6:164.1",0,,TRUE,A0,27.5603447,27.55970573,A0,0.9051672384,3.754638322,A0,27.55970573,0.9051672384,best_refined_score,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0
summary,A0,21,27.5,,,,,,,,,,,,,,E3,27.5391,A0,0.793691521,A0,,,,,,,,,,,,,,,,,,,,,,A0,27.55970573,0.9051672384,best_refined_score,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0,27.5603447,3.268619933,candidate_consolidation,A0
band_row,B♭0,22,29.13523509,1,77.78174593,55,110,low_to_high,83.394207,E2,0.6061615406,TRUE,1820.618662,86.42578125,F2,1,F2,29.2969,B♭0,0.8644350631,B♭0,86.42578125,F2,1,29.2969,B♭0,0.6518117113,,0,1.906325844,0.08810808679,6,"1:86.4, 2:174.3, 3:262.2, 4:321.5, 5:411.6, 6:472.4",1.7,"2:E3, 4:E4",FALSE,,,,,,,B♭0,29.24675369,0.9430057499,best_refined_score,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0
band_row,B♭0,22,29.13523509,2,155.5634919,110,220,low_to_high,167.2783432,E3,0.7289958279,TRUE,3025.696585,145.0195313,D3,1,F2,29.2969,B♭0,0.8644350631,B♭0,174.3164063,F3,1,28.7109,B♭0,0.8786891937,,0,2.140263739,0.06943962643,6,"1:174.3, 2:321.5, 3:503.2, 4:659.9, 5:855.5, 6:956.5",1,2:E4,FALSE,,,,,,,B♭0,29.24675369,0.9430057499,best_refined_score,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0
band_row,B♭0,22,29.13523509,3,311.1269837,220,440,low_to_high,338.2589722,E4,0.6643812853,TRUE,4244.749613,321.5332031,E4,1,F2,29.2969,B♭0,0.8644350631,B♭0,321.5332031,E4,1,87.2313,F2,0.6747827326,,2,2.122338884,0.05870446685,6,"1:321.5, 2:659.9, 3:958.0, 4:1352.8, 5:1780.5, 6:2089.6",0,,FALSE,,,,,,,B♭0,29.24675369,0.9430057499,best_refined_score,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0
band_row,B♭0,22,29.13523509,0,38.89087297,27.5,55,low_to_high,29.24527931,B♭0,0.917574749,TRUE,6.526579061,32.2265625,C1,0.07938021036,F2,29.2969,B♭0,0.8644350631,B♭0,30.76171875,B0,0.0624205346,20.5078,E0,0.5201118735,B♭0,1,3.311741542,0.06160760624,6,"1:30.8, 2:57.9, 3:86.4, 4:115.7, 5:145.0, 6:174.3",0,,TRUE,B♭0,29.24527931,29.24675369,B♭0,0.9430057499,6.613855826,B♭0,29.24675369,0.9430057499,best_refined_score,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0
summary,B♭0,22,29.13523509,,,,,,,,,,,,,,F2,29.2969,B♭0,0.8644350631,B♭0,,,,,,,,,,,,,,,,,,,,,,B♭0,29.24675369,0.9430057499,best_refined_score,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0,29.24527931,3.311741542,candidate_consolidation,B♭0
